city,fips_regions,lon,lat,state,zipcode
"Holtsville",36,-73.0456,40.8154,"NY",501
"Holtsville",36,-73.0456,40.8154,"NY",544
"Adjuntas",72,-66.7367,18.1522,"PR",601
"Aguada",72,-67.1775,18.3753,"PR",602
"Aguadilla",72,-67.1299,18.4586,"PR",603
"Aguadilla",72,-67.1477,18.4888,"PR",604
"Aguadilla",72,-67.1538,18.4289,"PR",605
"Maricao",72,-66.9759,18.1824,"PR",606
"Angeles",72,-66.9698,18.2856,"PR",611
"Arecibo",72,-66.6891,18.4134,"PR",612
"Bajadero",72,-66.6712,18.4055,"PR",616
"Barceloneta",72,-66.5581,18.4521,"PR",617
"Cabo Rojo",72,-67.1537,18.0375,"PR",623
"Alt de Penuelas",72,-66.3514,18.0112,"PR",624
"Camuy",72,-66.8499,18.4285,"PR",627
"Adjuntas",72,-66.8261,18.1803,"PR",631
"Rosario",72,-67.0797,18.1647,"PR",636
"Sabana Grande",72,-66.9273,18.0872,"PR",637
"Ciales",72,-66.4867,18.3092,"PR",638
"Utuado",72,-66.7367,18.2858,"PR",641
"Dorado",72,-66.2903,18.4337,"PR",646
"Ensenada",72,-66.9631,17.9692,"PR",647
"Florida",72,-66.5938,18.3565,"PR",650
"Garrochales",72,-66.5998,18.4519,"PR",652
"Guayanilla",72,-66.7963,18.0373,"PR",656
"Hatillo",72,-66.8201,18.4637,"PR",659
"Hormigueros",72,-67.1069,18.1431,"PR",660
"Isabela",72,-67.0226,18.4561,"PR",662
"Jayuya",72,-66.5938,18.223,"PR",664
"Lajas",72,-67.0584,18.0033,"PR",667
"Lares",72,-66.8797,18.3041,"PR",669
"Las Marias",72,-67.0286,18.2505,"PR",670
"Moca",72,-67.1069,18.3886,"PR",676
"Quebradillas",72,-66.9273,18.444,"PR",678
"Mayaguez",72,-67.0824,18.1211,"PR",681
"Morovis",72,-66.4033,18.3318,"PR",687
"Sabana Hoyos",72,-66.6296,18.35,"PR",688
"San Antonio",72,-67.0971,18.4907,"PR",690
"Vega Alta",72,-66.3299,18.3987,"PR",692
"Vega Baja",72,-66.4033,18.4207,"PR",693
"Vega Baja",72,-66.3884,18.4465,"PR",694
"Yauco",72,-66.8439,18.0656,"PR",698
"Aguas Buenas",72,-66.1296,18.2626,"PR",703
"Aguirre",72,-66.1032,18.2501,"PR",704
"Aibonito",72,-66.2605,18.1354,"PR",705
"Maunabo",72,-65.9215,17.9968,"PR",707
"Arroyo",72,-66.0523,17.9807,"PR",714
"Bo Bucana",72,-66.8568,18.1144,"PR",715
"Ponce",72,-66.6147,18.0004,"PR",717
"Naguabo",72,-65.7847,18.25,"PR",718
"Naranjito",72,-66.2486,18.2782,"PR",719
"Orocovis",72,-66.4033,18.2428,"PR",720
"Patillas",72,-66.0107,18.0252,"PR",723
"Caguas",72,-66.0315,18.2191,"PR",725
"Caguas",72,-66.0493,18.1217,"PR",726
"Caguas",72,-66.0829,18.2119,"PR",727
"Ponce",72,-66.6296,18.0829,"PR",728
"Canavanas",72,-65.8917,18.3863,"PR",729
"Ponce",72,-66.7019,18.0253,"PR",730
"Ponce",72,-66.6831,17.9952,"PR",731
"Ponce",72,-66.6146,18.0133,"PR",732
"Ponce",72,-66.6146,18.0133,"PR",733
"Ponce",72,-66.6146,18.0133,"PR",734
"Ceiba",72,-65.654,18.2436,"PR",735
"Cayey",72,-66.1177,18.1168,"PR",736
"Cayey",72,-66.1667,18.1138,"PR",737
"Fajardo",72,-65.648,18.3479,"PR",738
"Cidra",72,-66.1534,18.1991,"PR",739
"Punta Santiago",72,-65.7728,18.1709,"PR",741
"Ceiba",72,-65.6482,18.2666,"PR",742
"Rio Blanco",72,-65.7902,18.2202,"PR",744
"Canavanas",72,-65.7847,18.3387,"PR",745
"Salinas",72,-66.2605,18.0022,"PR",751
"San Lorenzo",72,-65.9759,18.1424,"PR",754
"Santa Isabel",72,-66.3914,17.9858,"PR",757
"Vieques",72,-65.4401,18.1263,"PR",765
"Villalba",72,-66.4986,18.1218,"PR",766
"Yabucoa",72,-65.8917,18.0538,"PR",767
"Coamo",72,-66.3557,18.1033,"PR",769
"Las Piedras",72,-65.8917,18.1646,"PR",771
"Jard de Loiza",72,-65.86,18.2022,"PR",772
"Luquillo",72,-65.7193,18.3576,"PR",773
"Culebra",72,-65.2916,18.3215,"PR",775
"Juncos",72,-65.9155,18.2564,"PR",777
"Coto Laurel",72,-66.5641,18.0801,"PR",780
"Comerao",72,-66.2248,18.2307,"PR",782
"Corozal",72,-66.3081,18.3193,"PR",783
"Guayama",72,-66.1177,18.0281,"PR",784
"Guayama",72,-66.1101,17.98,"PR",785
"La Plata",72,-66.2336,18.1564,"PR",786
"Humacao",72,-65.8501,18.1535,"PR",791
"Humacao",72,-65.8279,18.1519,"PR",792
"Barranquitas",72,-66.3299,18.1987,"PR",794
"Charlotte Amalie",78,-64.9314,18.3436,"VI",801
"Charlotte Amalie",78,-64.9322,18.3436,"VI",802
"Charlotte Amalie",78,-64.9314,18.3436,"VI",803
"Charlotte Amalie",78,-64.9314,18.3436,"VI",804
"St Thomas",78,-64.9314,18.3436,"VI",805
"Christiansted",78,-64.7041,17.7473,"VI",820
"Christiansted",78,-64.7039,17.7488,"VI",821
"Christiansted",78,-64.7039,17.7488,"VI",822
"Christiansted",78,-64.7039,17.7488,"VI",823
"Christiansted",78,-64.7039,17.7488,"VI",824
"Cruz Bay",78,-64.7926,18.3328,"VI",830
"Cruz Bay",78,-64.7943,18.3333,"VI",831
"Frederiksted",78,-64.8827,17.7135,"VI",840
"Frederiksted",78,-64.8818,17.7147,"VI",841
"Kingshill",78,-64.8336,17.7193,"VI",850
"Kingshill",78,-64.7836,17.7253,"VI",851
"San Juan",72,-66.1043,18.466,"PR",901
"San Juan",72,-66.1061,18.4683,"PR",902
"San Juan",72,-66.101,18.4645,"PR",906
"San Juan",72,-66.0859,18.4537,"PR",907
"San Juan",72,-66.1061,18.4683,"PR",908
"San Juan",72,-66.0672,18.4402,"PR",909
"Fernandez Juncos",72,-66.1061,18.4683,"PR",910
"San Juan",72,-66.0568,18.4513,"PR",911
"San Juan",72,-66.0597,18.4462,"PR",912
"San Juan",72,-66.0441,18.4503,"PR",913
"San Juan",72,-66.1061,18.4683,"PR",914
"San Juan",72,-66.0434,18.437,"PR",915
"Barrio Obrero",72,-66.1061,18.4683,"PR",916
"San Juan",72,-66.0493,18.4212,"PR",917
"San Juan",72,-66.0672,18.418,"PR",918
"Hato Rey",72,-66.1061,18.4683,"PR",919
"San Juan",72,-66.0919,18.3934,"PR",921
"Caparra",72,-66.1061,18.4683,"PR",922
"San Juan",72,-66.0374,18.4141,"PR",923
"San Juan",72,-66.0166,18.3974,"PR",924
"San Juan",72,-66.0508,18.4006,"PR",925
"San Juan",72,-66.0583,18.3419,"PR",926
"San Juan",72,-66.0791,18.3807,"PR",927
"Rio Piedras",72,-66.1061,18.4683,"PR",928
"65th Infantry",72,-66.1061,18.4683,"PR",929
"Rio Piedras",72,-66.1061,18.4683,"PR",930
"Rio Piedras",72,-66.1061,18.4683,"PR",931
"San Juan",72,-66.1061,18.4683,"PR",933
"Centro Medico Metropolitano",72,-66.1061,18.4683,"PR",935
"65th Infantry",72,-66.1061,18.4683,"PR",936
"San Juan",72,-66.1061,18.4683,"PR",937
"San Juan",72,-66.0548,18.4551,"PR",938
"San Juan",72,-66.1061,18.4683,"PR",939
"San Juan",72,-66.07,18.45,"PR",940
"Toa Baja",72,-66.2248,18.4306,"PR",949
"Toa Baja",72,-66.2600,18.4456,"PR",950
"Toa Baja",72,-66.2600,18.4456,"PR",951
"Sabana Seca",72,-66.175,18.4233,"PR",952
"Toa Alta",72,-66.2486,18.3671,"PR",953
"Toa Alta",72,-66.2487,18.3905,"PR",954
"San Juan",72,-66.1179,18.4697,"PR",955
"Bayaman",72,-66.1534,18.3323,"PR",956
"Bayaman",72,-66.2019,18.3164,"PR",957
"Bayaman",72,-66.1589,18.4008,"PR",958
"Bayaman",72,-66.1356,18.391,"PR",959
"Bayaman",72,-66.1589,18.4008,"PR",960
"Bayaman",72,-66.1594,18.4164,"PR",961
"Bda Vietnam",72,-66.1148,18.4299,"PR",965
"Guaynabo",72,-66.1207,18.4029,"PR",966
"Guaynabo",72,-66.1029,18.4061,"PR",968
"Guaynabo",72,-66.1118,18.3435,"PR",969
"Guaynabo",72,-66.1116,18.3596,"PR",970
"Guaynabo",72,-66.1133,18.4255,"PR",971
"Bureau of Census",72,-66.1064,18.4683,"PR",975
"Trujillo Alto",72,-65.9869,18.3102,"PR",976
"Trujillo Alto",72,-66.0076,18.3569,"PR",977
"St Just Contract",72,-66.0123,18.3703,"PR",978
"Carolina",72,-66.0166,18.4307,"PR",979
"Carolina",72,-66.1064,18.4683,"PR",981
"Carolina",72,-65.9958,18.4141,"PR",982
"Carolina",72,-65.9699,18.4465,"PR",983
"Carolina",72,-65.9578,18.3828,"PR",984
"Carolina",72,-65.9453,18.4101,"PR",985
"Carolina",72,-65.9578,18.3828,"PR",986
"Carolina",72,-65.9393,18.3483,"PR",987
"Carolina",72,-65.9578,18.3828,"PR",988
"Agawam",25,-72.6269,42.0637,"MA",1001
"Amherst",25,-72.5279,42.3894,"MA",1003
"Amherst",25,-72.523,42.3721,"MA",1004
"Barre",25,-72.1179,42.4328,"MA",1005
"Belchertown",25,-72.4021,42.2872,"MA",1007
"Blandford",25,-72.9697,42.1837,"MA",1008
"Bondsville",25,-72.3455,42.2098,"MA",1009
"Brimfield",25,-72.2008,42.1308,"MA",1010
"Chester",25,-72.9579,42.3065,"MA",1011
"Chesterfield",25,-72.8397,42.365,"MA",1012
"Chicopee",25,-72.6085,42.1486,"MA",1014
"Chicopee",25,-72.5737,42.1658,"MA",1020
"Chicopee",25,-72.59,42.16,"MA",1021
"Chicopee",25,-72.5382,42.1986,"MA",1022
"Cummington",25,-72.9342,42.475,"MA",1026
"East Longmeadow",25,-72.5087,42.0644,"MA",1028
"Feeding Hills",25,-72.6742,42.071,"MA",1030
"Gilbertville",25,-72.2245,42.345,"MA",1031
"Goshen",25,-72.8338,42.4644,"MA",1032
"Granby",25,-72.4968,42.2639,"MA",1033
"Granville",25,-72.9697,42.0684,"MA",1034
"Hadley",25,-72.556,42.3592,"MA",1035
"Hampden",25,-72.4021,42.0573,"MA",1036
"Hardwick",25,-72.2245,42.3832,"MA",1037
"Hatfield",25,-72.6092,42.3818,"MA",1038
